Subject,RT,Aloc
1,1.13644382260082,1
2,1.35267037825834,1
3,1.70502003318466,1
4,1.19803559066837,1
5,1.55816689022981,1
6,1.12091273815929,1
7,1.33302983023254,1
8,0.959941062533899,1
9,1.97715075113537,1
10,1.70266704738195,1
11,1.35854877765044,1
12,1.48251747107681,1
13,1.11613974301418,1
14,1.08264472365913,1
15,0.999038398217903,1
16,1.67397865804241,1
17,0.965906180392759,1
18,0.983768179159447,1
19,0.702236446464325,1
20,0.869656698049649,1
21,0.755361265190603,1
1,1.00673344418174,2
2,2.23452302586229,2
3,2.02018636188004,2
4,1.08206942084362,2
5,1.49710495693726,2
6,1.07796346926061,2
7,1.19370174667783,2
8,1.04124538638571,2
9,2.15405799846631,2
10,1.63236484659428,2
11,1.28410476594945,2
12,1.39095882164547,2
13,1.35925389016629,2
14,1.05988023070677,2
15,1.01789726124262,2
16,1.48552675727988,2
17,0.927204714535765,2
18,0.980939869224676,2
19,1.05347582486575,2
20,0.903649379734998,2
21,0.72144994053815,2
1,0.896616646694019,3
2,1.91513809827011,3
3,1.97897269793611,3
4,0.986505182413384,3
5,1.49489211660693,3
6,1.30063045686757,3
7,1.26966285147282,3
8,1.02547159862588,3
9,1.8604134869267,3
10,1.5124610292376,3
11,1.38231015863494,3
12,1.27814449741272,3
13,1.1143111000245,3
14,1.27212557791718,3
15,0.972008828469552,3
16,1.38782309053349,3
17,0.900645190860087,3
18,0.967561524920893,3
19,1.10681919594645,3
20,0.924451811728068,3
21,0.784200701318332,3
1,0.983858406712534,4
2,2.18834199078992,4
3,1.68059643017768,4
4,1.13953262966243,4
5,1.43122140317573,4
6,1.12609985013223,4
7,1.23187922587676,4
8,0.857050117375911,4
9,2.00507358771283,4
10,1.76055676330579,4
11,1.13122771680719,4
12,1.31978630363301,4
13,1.23577904116828,4
14,1.18507316200557,4
15,0.989151178683096,4
16,1.51905948973144,4
17,0.834909657001845,4
18,1.06425757078687,4
19,0.821333229509764,4
20,0.882817366984091,4
21,0.683539334661327,4
1,1.12195449599531,5
2,2.11897709176839,5
3,1.63557611184369,5
4,1.04614640527288,5
5,1.39576100206468,5
6,1.05748271717894,5
7,1.31489715635253,5
8,0.821989327973279,5
9,1.99975769486045,5
10,1.45020770498377,5
11,1.36108674685966,5
12,1.32656219024211,5
13,1.17706615058414,5
14,1.14419710893562,5
15,1.01426790394471,5
16,1.3650032919395,5
17,0.942365226122638,5
18,0.927161480204813,5
19,0.802956884514424,5
20,0.677790707797976,5
21,0.692106433623121,5
