Subject,RT,Aloc
1,0.814028918244003,1
2,1.05484823185398,1
3,1.46096262577194,1
4,1.51557290788915,1
5,1.14020383318421,1
6,0.661904989313916,1
7,1.21590851968795,1
8,1.13261878237827,1
9,0.804703489126405,1
10,1.09049265701324,1
11,0.988144056219608,1
12,0.851899844582658,1
13,1.04270266228705,1
14,0.768008560407907,1
15,0.956988821137929,1
16,0.77999371640617,1
17,1.8303541898611,1
18,0.596234804339474,1
19,0.53498597550074,1
20,1.15554898357586,1
21,0.895599508821942,1
22,1.55654869824284,1
1,0.634828391807969,2
2,0.998732233972987,2
3,1.33482879568037,2
4,1.65301777522545,2
5,1.13907871667761,2
6,0.643516439135419,2
7,1.20234809952672,2
8,0.92763103673351,2
9,0.660675369849196,2
10,1.05990717793466,2
11,0.877798547956627,2
12,0.925114527822007,2
13,1.03359729955555,2
14,0.766655583196552,2
15,1.09410770855611,2
16,0.747043640981428,2
17,1.66279497507494,2
18,0.499509075278183,2
19,0.569846850838985,2
20,0.945385436333527,2
21,0.853887800643133,2
22,1.72307874072667,2
1,0.455106668491499,3
2,1.04554782172927,3
3,1.39438702480402,3
4,1.42481474486704,3
5,1.14555878088286,3
6,0.493371612200281,3
7,1.29177082482202,3
8,0.88789784599503,3
9,0.587436466553481,3
10,1.09324436479365,3
11,0.86614187406376,3
12,1.03618579891045,3
13,0.872318073088536,3
14,0.803719482314773,3
15,0.898217145359376,3
16,0.867459768283879,3
17,1.62552559064352,3
18,0.52223371603759,3
19,0.611675415137097,3
20,1.01856208711488,3
21,0.851335005880719,3
22,1.76891583520464,3
1,0.749179418240965,4
2,1.08895200263796,4
3,1.48521623992419,4
4,1.45719830829476,4
5,1.21823963310162,4
6,0.594094014598522,4
7,1.22417715264892,4
8,0.948568736767629,4
9,0.631763819471235,4
10,1.1067511480127,4
11,0.810334404796595,4
12,0.822502389916917,4
13,0.898933568951907,4
14,0.807348901528167,4
15,0.887379545444855,4
16,0.841320376412477,4
17,1.69358701002202,4
18,0.69687808266026,4
19,0.527168147546263,4
20,1.13897543130552,4
21,1.00588155217029,4
22,1.82604007679984,4
1,0.804203798185642,5
2,1.15746384998783,5
3,1.48583594844431,5
4,1.51104667070812,5
5,1.39089741911371,5
6,0.646442699380905,5
7,1.15251834250337,5
8,1.00536346123983,5
9,0.668579234128916,5
10,1.09811742263724,5
11,0.913205849405035,5
12,0.772175190596547,5
13,1.01926282730174,5
14,0.794096771529631,5
15,0.873683100400836,5
16,0.831028311072212,5
17,1.79036185600011,5
18,0.648856466893401,5
19,0.565763739536219,5
20,1.23908959076212,5
21,0.924450311509166,5
22,1.77692270510459,5
