Subject,RT,AVloc
1,0.844005510943976,1
2,0.97119309087672,1
3,1.51131626845799,1
4,1.67037836648093,1
5,1.52307810346139,1
6,0.662550304677872,1
7,1.29334904218343,1
8,1.18967315260994,1
9,0.76998530048877,1
10,1.2143572511505,1
11,1.08887085013299,1
12,0.909372826628559,1
13,1.18470270942069,1
14,0.885235751983365,1
15,0.960691422090383,1
16,1.00376993895474,1
17,1.47733565977412,1
18,0.669296565366461,1
19,0.587315920138988,1
20,1.11415426715663,1
21,0.759038595338131,1
22,1.7133504294772,1
1,0.676860780532212,2
2,0.831924854322364,2
3,1.75373914001701,2
4,1.69280392525252,2
5,1.58204847834457,2
6,0.688640123335919,2
7,1.24365515493692,2
8,1.03293390576522,2
9,0.651295290232691,2
10,1.18842065235709,2
11,0.801245071644456,2
12,0.815419542863417,2
13,1.04307324684444,2
14,0.854264460784821,2
15,1.14580467523432,2
16,1.03761647573864,2
17,1.36623387168134,2
18,0.761720837107586,2
19,0.592833938607167,2
20,1.03488534117552,2
21,0.743008606110593,2
22,2.0633157127013,2
1,0.756233474441494,3
2,0.989474510971922,3
3,1.92850725505656,3
4,1.51788172606224,3
5,1.53194658974341,3
6,0.749492919262654,3
7,1.3394260121005,3
8,1.21625676544306,3
9,0.645706361299381,3
10,1.17226053050254,3
11,0.801075267636528,3
12,0.773604485369287,3
13,1.18460546219721,3
14,0.873796032120784,3
15,1.03017510063946,3
16,1.27144386112535,3
17,1.39502395538148,3
18,0.757840942304271,3
19,0.575602387286866,3
20,1.00792310926505,3
21,0.706404093322393,3
22,2.02033121383526,3
1,0.743315594642327,4
2,0.93075721220264,4
3,1.72293222346001,4
4,1.56311845631161,4
5,1.36634802755297,4
6,0.665621922091197,4
7,1.23848521706018,4
8,1.07821888357456,4
9,0.618366418194081,4
10,1.29156421272166,4
11,0.94308358778054,4
12,0.896602572743123,4
13,1.2729049275821,4
14,0.834054428693729,4
15,0.977838826345225,4
16,1.08050493047545,4
17,1.3782078114215,4
18,0.665811337400502,4
19,0.581608881747824,4
20,1.06764853441157,4
21,0.807145661675938,4
22,2.03645033683364,4
1,0.81069582326935,5
2,1.05475615983849,5
3,1.65443904695744,5
4,1.43439036352388,5
5,1.46223016516255,5
6,0.627420885136614,5
7,1.25174728002774,5
8,1.09641592068922,5
9,0.677337178525151,5
10,1.15434093947482,5
11,0.867008348263841,5
12,0.901343392091803,5
13,1.09476738627089,5
14,0.910437370574547,5
15,0.879738186572111,5
16,0.929789088388055,5
17,1.4365323783435,5
18,0.647358249225046,5
19,0.550106306469349,5
20,1.14241218223881,5
21,0.90209438402915,5
22,1.88458749151181,5
